State,Dvote,Rvote,Rcol,Dcol,EC
California,8753788,4483810,0,55,55
Colorado,1338870,1202484,0,9,9
Connecticut,897572,673215,0,7,7
Delaware,235603,185127,0,3,3
DC,282830,12723,0,3,3
Hawaii,266891,128847,0,3,3
Illinois,3090729,2146015,0,20,20
Maryland,1677928,943169,0,10,10
Massachusetts,1995196,1090893,0,11,11
Minnesota,1367705,1322949,0,10,10
Nevada,539260,512058,0,6,6
New Hampshire,348526,345790,0,4,4
New Jersey,2148278,1601933,0,14,14
New Mexico,385234,319667,0,5,5
New York,4379789,2527142,0,29,29
Oregon,1002106,782403,0,7,7
Rhode Island,252525,180543,0,4,4
Vermont,178573,95369,0,3,3
Virginia,1981473,1769443,0,13,13
Washington,1742718,1221747,0,8,8
Maine,357735,335593,1,3,4
Alaska,116454,163387,3,0,3
Montana,177709,279240,3,0,3
North Dakota,93758,216794,3,0,3
South Dakota,117458,227721,3,0,3
Wyoming,55973,174419,3,0,3
Idaho,189765,409055,4,0,4
Nebraska,284494,495961,5,0,5
West Virginia,188794,489371,5,0,5
Arkansas,380494,684872,6,0,6
Iowa,653669,800983,6,0,6
Kansas,427005,671018,6,0,6
Mississippi,485131,700714,6,0,6
Utah,310674,515211,6,0,6
Oklahoma,420375,949136,7,0,7
Kentucky,628854,1202971,8,0,8
Louisiana,780154,1178638,8,0,8
Alabama,729547,1318255,9,0,9
South Carolina,855373,1155389,9,0,9
Missouri,1071068,1594511,10,0,10
Wisconsin,1382536,1405284,10,0,10
Arizona,1161167,1252401,11,0,11
Indiana,1033126,1557286,11,0,11
Tennessee,870695,1522925,11,0,11
North Carolina,2189316,2362631,15,0,15
Georgia,1877963,2089104,16,0,16
Michigan,2268839,2279543,16,0,16
Ohio,2394164,2841005,18,0,18
Pennsylvania,2926441,2970733,20,0,20
Florida,4504975,4617886,29,0,29
Texas,3877868,4685047,36,0,36
US,65677168,62692411,304,227,608
