Year,State Name,AFS Name,Pounds,Dollars,Conf
2017,California,"SARDINE, PACIFIC","744,259","61,379",
2016,California,"SARDINE, PACIFIC","913,233","95,395",
2015,California,"SARDINE, PACIFIC","3,723,568","343,020",
2014,California,"SARDINE, PACIFIC","17,112,489","2,003,044",
2013,California,"SARDINE, PACIFIC","15,635,558","1,509,986",
2012,California,"SARDINE, PACIFIC","50,660,330","4,248,504",
2011,California,"SARDINE, PACIFIC","60,993,015","4,398,342",
2010,California,"SARDINE, PACIFIC","73,813,954","4,366,111",
2009,California,"SARDINE, PACIFIC","82,842,336","5,543,520",
2008,California,"SARDINE, PACIFIC","126,944,832","7,575,420",
2007,California,"SARDINE, PACIFIC","178,480,103","8,218,158",
2006,California,"SARDINE, PACIFIC","102,683,220","5,099,583",
2005,California,"SARDINE, PACIFIC","76,324,354","3,149,958",
2004,California,"SARDINE, PACIFIC","97,508,822","3,957,484",
2003,California,"SARDINE, PACIFIC","76,527,632","2,874,456",
2002,California,"SARDINE, PACIFIC","128,583,546","5,847,799",
2001,California,"SARDINE, PACIFIC","114,235,237","6,281,392",
2000,California,"SARDINE, PACIFIC","118,192,955","5,467,772",
1999,California,"SARDINE, PACIFIC","131,613,773","5,100,752",
1998,California,"SARDINE, PACIFIC","95,483,871","3,620,541",
1997,California,"SARDINE, PACIFIC","95,436,548","4,440,700",
1996,California,"SARDINE, PACIFIC","71,767,264","3,151,711",
1995,California,"SARDINE, PACIFIC","88,747,542","3,556,900",
1994,California,"SARDINE, PACIFIC","25,669,840","1,515,284",
1993,California,"SARDINE, PACIFIC","33,832,787","1,545,382",
1992,California,"SARDINE, PACIFIC","39,797,424","1,875,361",
1991,California,"SARDINE, PACIFIC","16,727,151","892,956",
1990,California,"SARDINE, PACIFIC","3,668,980","190,583",
1989,California,"SARDINE, PACIFIC","1,844,620","195,163",
1988,California,"SARDINE, PACIFIC","2,619,999","171,523",
1987,California,"SARDINE, PACIFIC","968,776","63,116",
1986,California,"SARDINE, PACIFIC","856,444","82,681",
1985,California,"SARDINE, PACIFIC","12,876","1,414",
1984,California,"SARDINE, PACIFIC","2,598",869,
1983,California,"SARDINE, PACIFIC","1,384",175,
1982,California,"SARDINE, PACIFIC","4,010",538,
1981,California,"SARDINE, PACIFIC","32,554","3,019",
1980,California,"SARDINE, PACIFIC","46,839","4,226",
1979,California,"SARDINE, PACIFIC","20,572","1,440",
1978,California,"SARDINE, PACIFIC","1,900",116,
1977,California,"SARDINE, PACIFIC","4,600",580,
1976,California,"SARDINE, PACIFIC","16,200",687,
1975,California,"SARDINE, PACIFIC","5,300",303,
1974,California,"SARDINE, PACIFIC","14,100",884,
1973,California,"SARDINE, PACIFIC","151,600","26,731",
1972,California,"SARDINE, PACIFIC","372,200","60,275",
1971,California,"SARDINE, PACIFIC","297,900","68,713",
1970,California,"SARDINE, PACIFIC","442,300","101,301",
1969,California,"SARDINE, PACIFIC","105,300","14,035",
1968,California,"SARDINE, PACIFIC","124,100","15,293",
1967,California,"SARDINE, PACIFIC","148,800","30,553",
1966,California,"SARDINE, PACIFIC","878,400","152,051",
1965,California,"SARDINE, PACIFIC","1,924,200","125,530",
1964,California,"SARDINE, PACIFIC","13,137,500","500,142",
1963,California,"SARDINE, PACIFIC","7,131,200","298,879",
1962,California,"SARDINE, PACIFIC","15,363,000","490,329",
1961,California,"SARDINE, PACIFIC","43,169,000","1,146,484",
1960,California,"SARDINE, PACIFIC","57,532,600","1,185,813",
1959,California,"SARDINE, PACIFIC","74,366,900","1,474,945",
1958,California,"SARDINE, PACIFIC","207,445,800","5,439,275",
1957,California,"SARDINE, PACIFIC","45,862,100","1,786,545",
1956,California,"SARDINE, PACIFIC","69,554,300","1,673,501",
1955,California,"SARDINE, PACIFIC","145,607,800","3,069,453",
1954,California,"SARDINE, PACIFIC","136,504,100","3,700,540",
1953,California,"SARDINE, PACIFIC","9,468,900","527,703",
1952,California,"SARDINE, PACIFIC","14,330,400","523,120",
1951,California,"SARDINE, PACIFIC","328,892,700","7,247,470",
1950,California,"SARDINE, PACIFIC","714,521,800","12,140,322",
